City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Ixtapa,MX,76.23,clear sky,20.7,-105.2,
3,Kupang,ID,78.62,overcast clouds,-10.1667,123.5833,
6,Poum,NC,79.36,overcast clouds,-20.2333,164.0167,
12,Vaini,TO,80.76,broken clouds,-21.2,-175.2,
17,Isangel,VU,81.55,few clouds,-19.55,169.2667,
18,Jalu,LY,75.0,overcast clouds,29.0331,21.5482,
25,Sur,OM,75.38,clear sky,22.5667,59.5289,
33,Hualmay,PE,76.12,overcast clouds,-11.0964,-77.6139,
35,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,
38,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,
40,Yulara,AU,76.62,overcast clouds,-25.2406,130.9889,
45,Pisco,PE,78.85,clear sky,-13.7,-76.2167,
50,Kapaa,US,75.09,light rain,22.0752,-159.319,
54,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,
56,Georgetown,MY,78.73,few clouds,5.4112,100.3354,
58,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,
61,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,
63,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,
65,Manta,EC,82.18,light rain,-0.95,-80.7333,
66,Cabo San Lucas,MX,78.62,few clouds,22.8909,-109.9124,
70,Gizo,SB,82.94,light rain,-8.103,156.8419,
74,El Fuerte,MX,81.52,few clouds,26.4189,-108.6194,
78,Cidreira,BR,81.7,clear sky,-30.1811,-50.2056,
79,Rikitea,PF,80.31,few clouds,-23.1203,-134.9692,
85,Koumac,NC,78.01,broken clouds,-20.5667,164.2833,
90,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,
92,Kavaratti,IN,81.0,clear sky,10.5669,72.642,
94,Tulum,MX,82.94,clear sky,20.2167,-87.4667,
111,Labuhan,ID,76.68,overcast clouds,-6.8844,112.2051,
121,Buchanan,LR,79.23,moderate rain,5.8808,-10.0467,
122,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,
123,Mar Del Plata,AR,75.22,few clouds,-38.0023,-57.5575,
129,Atuona,PF,80.01,light rain,-9.8,-139.0333,
135,Eagle Pass,US,84.27,scattered clouds,28.7091,-100.4995,
137,Jutai,BR,83.05,heavy intensity rain,-5.1833,-68.9,
138,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,
139,Daru,PG,77.72,overcast clouds,-9.0763,143.2092,
141,Rio Branco Do Sul,BR,77.32,overcast clouds,-25.19,-49.3142,
146,Vera Cruz,BR,83.77,overcast clouds,-12.6333,-41.0333,
148,Canyon Lake,US,78.24,overcast clouds,29.8752,-98.2625,
151,Gamba,GA,76.55,overcast clouds,-2.65,10.0,
157,Faanui,PF,82.62,few clouds,-16.4833,-151.75,
160,Winneba,GH,82.0,overcast clouds,5.3511,-0.6231,
161,Karratha,AU,83.48,broken clouds,-20.7377,116.8463,
164,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,
172,Bilma,NE,79.52,clear sky,18.6853,12.9164,
176,Charcas,MX,77.0,overcast clouds,23.1333,-101.1167,
180,Aitape,PG,77.29,broken clouds,-3.1374,142.3475,
186,Porto Novo,BJ,81.81,overcast clouds,6.4965,2.6036,
192,Padang,ID,76.55,broken clouds,-0.9492,100.3543,
193,Jitra,MY,80.49,few clouds,6.2681,100.4217,
196,Nova Serrana,BR,82.42,overcast clouds,-19.8761,-44.9836,
208,Maningrida,AU,77.77,light rain,-12.0667,134.2667,
210,Caravelas,BR,82.02,clear sky,-17.7125,-39.2481,
212,Okitipupa,NG,80.33,broken clouds,6.5047,4.7839,
213,Vanimo,PG,76.41,overcast clouds,-2.6741,141.3028,
215,Mabaruma,GY,80.51,broken clouds,8.2,-59.7833,
218,Breves,BR,80.76,overcast clouds,-1.6822,-50.4803,
219,Lorengau,PG,79.56,overcast clouds,-2.0226,147.2712,
222,Belo Jardim,BR,80.2,broken clouds,-8.3356,-36.4242,
223,Nanakuli,US,75.15,light rain,21.3906,-158.1547,
224,Hithadhoo,MV,81.21,few clouds,-0.6,73.0833,
225,Kandrian,PG,77.74,light rain,-6.2167,149.55,
226,Belmonte,BR,82.08,clear sky,-15.8631,-38.8828,
230,Axim,GH,81.9,overcast clouds,4.8699,-2.2405,
232,Souillac,MU,75.58,few clouds,-20.5167,57.5167,
239,Carnarvon,AU,76.98,overcast clouds,-24.8667,113.6333,
240,Kahului,US,75.85,light rain,20.8947,-156.47,
241,Descalvado,BR,81.48,overcast clouds,-21.9039,-47.6194,
245,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,
251,Avera,US,76.51,overcast clouds,33.194,-82.5271,
258,Sao Lourenco Do Sul,BR,76.39,broken clouds,-31.3653,-51.9783,
259,Salto De Agua,MX,86.76,clear sky,17.6167,-92.3667,
260,Sena Madureira,BR,89.29,overcast clouds,-9.0656,-68.6569,
261,Sabang,ID,81.84,scattered clouds,5.8933,95.3214,
262,Saint-Louis,SN,89.24,overcast clouds,16.3333,-15.0,
265,La Union,PE,87.3,overcast clouds,-5.4,-80.75,
267,Pimentel,PE,82.69,broken clouds,-6.8367,-79.9342,
270,Nobres,BR,89.2,broken clouds,-14.7203,-56.3275,
271,Nisia Floresta,BR,86.81,clear sky,-6.0911,-35.2086,
279,Touros,BR,82.78,clear sky,-5.1989,-35.4608,
281,Potong,PH,75.85,overcast clouds,12.3362,125.285,
287,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,
290,Tautira,PF,82.06,few clouds,-17.7333,-149.15,
291,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,
292,Dingle,PH,76.3,broken clouds,10.9995,122.6711,
294,Uturoa,PF,82.26,light rain,-16.7333,-151.4333,
298,Santa Cruz Del Sur,CU,86.18,moderate rain,20.7147,-77.9956,
299,Cabo Rojo,PR,84.43,clear sky,18.0866,-67.1457,
301,Manoel Urbano,BR,88.75,overcast clouds,-8.8389,-69.2597,
302,Houston,US,84.42,few clouds,29.7633,-95.3633,
303,Merauke,ID,79.09,overcast clouds,-8.4667,140.3333,
304,Puerto Baquerizo Moreno,EC,77.99,light intensity drizzle rain,-0.9,-89.6,
308,Kirakira,SB,80.08,overcast clouds,-10.4544,161.9205,
312,Wagar,SD,80.92,clear sky,16.1525,36.2032,
314,San Luis,AR,84.42,overcast clouds,-33.295,-66.3356,
320,Quelimane,MZ,76.95,thunderstorm with rain,-17.8786,36.8883,
322,Ambajogai,IN,75.9,clear sky,18.7333,76.3833,
323,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,
325,Norsup,VU,81.41,overcast clouds,-16.0667,167.3833,
326,Cabedelo,BR,86.67,clear sky,-6.9811,-34.8339,
328,Gurupa,BR,81.48,overcast clouds,-1.405,-51.64,
334,Iquique,CL,77.04,overcast clouds,-20.2208,-70.1431,
335,Pandan,PH,76.75,overcast clouds,14.0453,124.1694,
337,Madina,GH,83.62,overcast clouds,5.6823,-0.1641,
340,Namatanai,PG,79.57,light rain,-3.6667,152.4333,
344,Port Blair,IN,80.17,overcast clouds,11.6667,92.75,
345,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,
346,Sagua La Grande,CU,83.39,clear sky,22.8067,-80.0756,
347,Sao Desiderio,BR,83.82,overcast clouds,-12.3633,-44.9733,
348,Ugoofaaru,MV,80.02,clear sky,5.6667,73.0,
350,Hukuntsi,BW,86.54,broken clouds,-24.0,21.75,
353,Sembe,CG,76.68,scattered clouds,1.6481,14.5806,
355,Jacareacanga,BR,86.65,overcast clouds,-6.2222,-57.7528,
357,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,
359,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,
361,Tual,ID,82.99,overcast clouds,-5.6667,132.75,
367,Minatitlan,MX,84.58,clear sky,17.9833,-94.5167,
368,Takoradi,GH,82.63,overcast clouds,4.8845,-1.7554,
372,Palmerston,AU,79.88,light intensity shower rain,-12.486,130.9833,
373,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,
382,Boueni,YT,82.38,overcast clouds,-12.9025,45.0761,
384,Trairi,BR,81.18,overcast clouds,-3.2778,-39.2689,
387,Auki,SB,79.0,overcast clouds,-8.7676,160.7034,
388,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,
389,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,
393,Dutlwe,BW,77.97,light rain,-23.9833,23.9,
394,Crato,BR,89.31,broken clouds,-7.2342,-39.4094,
396,Eyl,SO,75.52,few clouds,7.9803,49.8164,
404,Mamallapuram,IN,75.25,scattered clouds,12.6264,80.1722,
410,Kavieng,PG,81.5,overcast clouds,-2.5744,150.7967,
411,Alyangula,AU,80.49,overcast clouds,-13.8483,136.4192,
416,Fare,PF,82.51,light rain,-16.7,-151.0167,
418,Sarh,TD,87.89,overcast clouds,9.1429,18.3923,
419,Coruripe,BR,82.35,clear sky,-10.1256,-36.1756,
420,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,
426,Teresopolis,BR,77.81,overcast clouds,-22.4122,-42.9656,
434,Arica,CL,83.75,clear sky,-18.475,-70.3042,
435,Beloha,MG,75.51,scattered clouds,-25.1667,45.05,
437,Meulaboh,ID,75.02,overcast clouds,4.1363,96.1285,
449,Vao,NC,76.08,overcast clouds,-22.6667,167.4833,
453,Punta Alta,AR,77.54,broken clouds,-38.8759,-62.0736,
459,Simplicio Mendes,BR,88.88,broken clouds,-7.8539,-41.9103,
465,San Patricio,US,82.49,broken clouds,28.017,-97.5169,
466,Mount Pleasant,US,78.19,haze,32.7941,-79.8626,
468,Rio Grande,BR,89.71,clear sky,-32.035,-52.0986,
471,Lazaro Cardenas,MX,85.33,overcast clouds,17.9583,-102.2,
473,Morondava,MG,80.22,overcast clouds,-20.2833,44.2833,
478,Kulhudhuffushi,MV,80.37,few clouds,6.6221,73.07,
480,Sinazongwe,ZM,80.01,broken clouds,-17.2614,27.4618,
481,Inirida,CO,89.94,overcast clouds,3.8653,-67.9239,
483,Tocopilla,CL,75.7,scattered clouds,-22.092,-70.1979,
487,San Andres,CO,86.02,few clouds,12.5847,-81.7006,
491,Talara,PE,88.56,clear sky,-4.5772,-81.2719,
497,Ewa Beach,US,75.15,light rain,21.3156,-158.0072,
500,Kieta,PG,78.98,light rain,-6.2167,155.6333,
503,Santa Clara,CU,82.06,clear sky,22.4,-79.9667,
507,Ascension,US,84.2,clear sky,30.2169,-90.9001,
510,Rey Bouba,CM,84.97,broken clouds,8.6724,14.1786,
511,Sao Felix Do Xingu,BR,84.56,light rain,-6.6447,-51.995,
517,La Plaine,DM,82.69,few clouds,15.3333,-61.25,
519,Bage,BR,82.18,moderate rain,-31.3314,-54.1069,
520,Sinnamary,GF,75.13,overcast clouds,5.3833,-52.95,
522,High Rock,BS,82.42,clear sky,26.6208,-78.2833,
525,Robertsport,LR,79.14,overcast clouds,6.7533,-11.3686,
530,Brokopondo,SR,77.94,overcast clouds,4.75,-55.1667,
531,Bombay,IN,84.18,smoke,19.0144,72.8479,
535,Port-Gentil,GA,78.76,moderate rain,-0.7193,8.7815,
539,Garissa,KE,81.88,overcast clouds,-0.4536,39.6401,
540,Acapulco,MX,86.11,clear sky,16.8634,-99.8901,
543,Baculin,PH,76.68,overcast clouds,7.4525,126.5842,
544,Acarau,BR,81.9,overcast clouds,-2.8856,-40.12,
553,Kidal,ML,79.7,overcast clouds,18.4411,1.4078,
554,Samarai,PG,80.46,overcast clouds,-10.6167,150.6667,
559,Terra Santa,BR,80.24,overcast clouds,-2.1042,-56.4869,
561,Salalah,OM,77.09,clear sky,17.0151,54.0924,
563,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,
564,Sao Joao Da Barra,BR,87.89,few clouds,-21.6403,-41.0511,
565,Porto Velho,BR,77.05,broken clouds,-8.7619,-63.9039,
569,Ahuimanu,US,75.85,light rain,21.4447,-157.8378,
572,Jega,NG,86.05,broken clouds,12.2175,4.3792,
581,San Ignacio,BZ,87.94,broken clouds,17.1561,-89.0714,
586,Vieques,PR,84.72,scattered clouds,18.425,-65.8329,
587,Celestun,MX,84.18,clear sky,20.8667,-90.4,
588,Sassandra,CI,80.4,light rain,4.95,-6.0833,
590,Crestview,US,82.9,scattered clouds,30.7621,-86.5705,
591,Bambanglipuro,ID,75.49,overcast clouds,-7.95,110.2833,
598,Bonthe,SL,76.73,broken clouds,7.5264,-12.505,
600,Biak,ID,76.3,overcast clouds,-0.9131,122.8766,
604,Pauini,BR,89.26,overcast clouds,-7.7136,-66.9764,
605,Carlos Chagas,BR,87.89,few clouds,-17.7031,-40.7664,
609,Gigmoto,PH,76.93,overcast clouds,13.7796,124.39,
615,Kerouane,GN,84.15,overcast clouds,9.2667,-9.0167,
621,Mogadishu,SO,77.83,overcast clouds,2.0371,45.3438,
625,Mitsamiouli,KM,80.26,overcast clouds,-11.3847,43.2844,
629,Monte Alegre,BR,85.6,broken clouds,-2.0078,-54.0692,
636,Sorong,ID,80.42,overcast clouds,-0.8833,131.25,
637,Soanierana Ivongo,MG,75.65,light rain,-16.9167,49.5833,
639,Mattru,SL,78.6,broken clouds,7.6244,-11.8332,
641,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,
653,San Lazaro,BZ,84.22,few clouds,18.0387,-88.6622,
654,Neiafu,TO,81.28,light rain,-18.65,-173.9833,
656,Ambon,ID,82.54,few clouds,-3.6954,128.1814,
